IDX,Applicant_ID,Total_Experience,Total_Experience_in_field_applied,Department,Role,Industry,Organization,Designation,Education,Graduation_Specialization,University_Grad,Passing_Year_Of_Graduation,PG_Specialization,University_PG,Passing_Year_Of_PG,PHD_Specialization,University_PHD,Passing_Year_Of_PHD,Curent_Location,Preferred_location,Current_CTC,Inhand_Offer,Last_Appraisal_Rating,No_Of_Companies_worked,Number_of_Publications,Certifications,International_degree_any,Expected_CTC
1452,12004,1,0,IT-Software,Bio statistician,Telecom,B,Product Manager,Doctorate,Others,Jaipur,2010.0,Botony,Jaipur,2012.0,Sociology,Lucknow,2019.0,Mangalore,Ahmedabad,765648,Y,B,3,6,0,0,995342
1456,45885,16,5,Engineering,Others,Analytics,F,Sr.Manager,PG,Engineering,Lucknow,1995.0,Engineering,Lucknow,1997.0,Others,Nagpur,2004.0,Bangalore,Kolkata,3239658,Y,A,4,4,1,0,4276348
1461,41342,11,7,Healthcare,Business Analyst,Others,M,Director,Doctorate,Statistics,Surat,2002.0,Others,Surat,2004.0,Botony,Mumbai,2009.0,Surat,Jaipur,1557178,N,B,4,3,0,0,2102190
1462,27679,8,2,Banking,Business Analyst,Training,A,Others,PG,Botony,Delhi,2006.0,Botony,Delhi,2008.0,Botony,Bangalore,2012.0,Lucknow,Kanpur,942334,N,A,3,7,1,0,1274035
1463,29891,2,0,Analytics/BI,Consultant,Automobile,N,Sr.Manager,PG,Statistics,Jaipur,2012.0,Statistics,Jaipur,2014.0,Statistics,Surat,2018.0,Pune,Kanpur,526234,Y,D,2,7,0,0,653582
1464,38073,16,15,Others,Team Lead,Telecom,H,Product Manager,Doctorate,Mathematics,Bhubaneswar,1996.0,Mathematics,Bhubaneswar,1998.0,Mathematics,Ahmedabad,2004.0,Nagpur,Mumbai,3645345,N,C,5,7,0,0,4527518
1465,32224,9,4,Others,Sales Manager,Aviation,E,Product Manager,Grad,Sociology,Kolkata,2005.0,Sociology,Kolkata,2007.0,Sociology,Mumbai,2011.0,Surat,Bangalore,1057082,N,B,6,6,0,0,1321352
1467,24701,2,0,Analytics/BI,Data scientist,FMCG,L,HR,Doctorate,Others,Ahmedabad,2010.0,Economics,Ahmedabad,2012.0,Sociology,Ahmedabad,2018.0,Bhubaneswar,Pune,842162,N,D,2,6,0,0,968486
1468,25439,10,2,Education,Financial Analyst,Analytics,B,Consultant,Grad,Mathematics,Ahmedabad,2001.0,Mathematics,Ahmedabad,2003.0,Others,Mangalore,2010.0,Guwahati,Mumbai,2085744,N,A,1,3,0,0,2607180
1470,40736,15,7,Sales,Bio statistician,Retail,M,HR,Grad,Statistics,Mangalore,1997.0,Statistics,Mangalore,1999.0,Others,Lucknow,2005.0,Lucknow,Kanpur,1732258,Y,D,3,7,0,0,2039907
1471,27768,21,7,Accounts,Project Manager,FMCG,M,CA,PG,Statistics,Mangalore,1991.0,Statistics,Mangalore,1993.0,Others,Delhi,1999.0,Mumbai,Mangalore,1418416,N,D,6,7,1,0,1696425
1472,38022,23,14,Top Management,Consultant,Telecom,P,CA,Doctorate,Mathematics,Lucknow,1989.0,Mathematics,Lucknow,1991.0,Mathematics,Bhubaneswar,1997.0,Ahmedabad,Bangalore,2732281,N,A,2,5,0,0,3688579
1474,24383,21,16,Analytics/BI,Consultant,Retail,K,CA,PG,Statistics,Delhi,1990.0,Statistics,Delhi,1992.0,Statistics,Mangalore,1999.0,Bhubaneswar,Jaipur,2789772,Y,A,2,4,1,0,3682499
1479,51761,9,2,Education,Principal Analyst,Aviation,P,Data Analyst,Doctorate,Engineering,Jaipur,2002.0,Others,Jaipur,2004.0,Sociology,Lucknow,2011.0,Pune,Jaipur,1908302,N,B,2,4,0,1,2576207
1482,51449,9,4,Education,Business Analyst,BFSI,C,Consultant,Doctorate,Chemistry,Kolkata,2002.0,Chemistry,Kolkata,2004.0,Chemistry,Delhi,2011.0,Surat,Surat,2073346,Y,C,4,5,0,0,2670469
1484,47932,5,2,Marketing,Analyst,Telecom,F,Assistant Manager,Grad,Economics,Delhi,2009.0,Economics,Delhi,2011.0,Economics,Bangalore,2015.0,Kolkata,Mumbai,669335,Y,A,2,4,0,0,891018
1485,10720,11,7,HR,Head,Retail,E,Sr.Manager,Doctorate,Mathematics,Delhi,2003.0,Mathematics,Delhi,2005.0,Mathematics,Surat,2009.0,Surat,Jaipur,1998494,N,C,2,5,0,1,2482129
1488,21411,8,7,Marketing,Principal Analyst,Training,A,Data Analyst,Grad,Statistics,Nagpur,2005.0,Others,Nagpur,2007.0,Zoology,Pune,2012.0,Lucknow,Chennai,1172835,N,B,3,4,4,1,1466043
1491,11664,17,16,Accounts,Others,Insurance,C,Network Engineer,PG,Economics,Ahmedabad,1994.0,Economics,Ahmedabad,1996.0,Economics,Lucknow,2003.0,Pune,Chennai,1770491,N,A,4,7,0,0,2301638
1492,31147,19,2,Top Management,CEO,Retail,A,Sr.Manager,Doctorate,Statistics,Mumbai,1995.0,Statistics,Mumbai,1997.0,Statistics,Kolkata,2001.0,Surat,Bhubaneswar,3377982,N,A,4,6,0,0,4560275
1494,45606,25,8,Others,Others,Insurance,J,Sr.Manager,PG,Economics,Ahmedabad,1987.0,Economics,Ahmedabad,1989.0,Economics,Kolkata,1995.0,Bangalore,Chennai,2325429,Y,C,5,3,3,0,2824000
1496,19313,17,8,Accounts,Head,Telecom,P,Sr.Manager,Doctorate,Chemistry,Mumbai,1994.0,Chemistry,Mumbai,1996.0,Chemistry,Guwahati,2003.0,Kanpur,Mumbai,2745980,Y,A,6,5,0,0,3844372
1497,55010,16,11,Banking,Business Analyst,Automobile,M,Network Engineer,Doctorate,Chemistry,Delhi,1997.0,Chemistry,Delhi,1999.0,Chemistry,Delhi,2004.0,Delhi,Bhubaneswar,2602413,N,C,4,4,0,0,3232196
1499,46729,14,2,Top Management,Sr. Business Analyst,BFSI,P,Manager,Doctorate,Others,Jaipur,1998.0,Chemistry,Jaipur,2000.0,Mathematics,Bangalore,2006.0,Jaipur,Mumbai,1595403,Y,A,3,4,0,0,2233564
1500,49575,1,1,HR,Analyst,Analytics,I,Others,Doctorate,Botony,Kolkata,2012.0,Botony,Kolkata,2014.0,Botony,Guwahati,2019.0,Pune,Mumbai,829809,N,B,3,8,0,0,1037261
1501,13614,8,8,Healthcare,Principal Analyst,BFSI,B,Manager,Doctorate,Statistics,Mumbai,2004.0,Statistics,Mumbai,2006.0,Statistics,Bhubaneswar,2012.0,Bhubaneswar,Pune,2016589,Y,Key_Performer,1,6,0,0,2936153
1503,37634,5,2,Engineering,Others,Retail,L,Others,Grad,Botony,Guwahati,2007.0,Botony,Guwahati,2009.0,Botony,Pune,2015.0,Mangalore,Ahmedabad,518978,N,B,3,6,0,0,648722
1505,29539,21,17,Banking,Consultant,IT,M,Research Scientist,PG,Psychology,Guwahati,1990.0,Psychology,Guwahati,1992.0,Psychology,Surat,1999.0,Chennai,Bhubaneswar,2669648,N,C,3,7,1,0,3192899
1506,31453,11,5,Accounts,Team Lead,BFSI,H,Marketing Manager,Grad,Mathematics,Pune,2003.0,Mathematics,Pune,2005.0,Mathematics,Ahmedabad,2009.0,Mangalore,Ahmedabad,2043172,Y,A,5,8,0,0,2615260
1508,50532,12,8,Top Management,CEO,Training,N,Sr.Manager,Doctorate,Zoology,Guwahati,2000.0,Others,Guwahati,2002.0,Zoology,Surat,2008.0,Kolkata,Nagpur,2212392,N,C,6,6,0,1,2747790
1514,28674,15,7,Analytics/BI,Consultant,Telecom,I,HR,PG,Chemistry,Delhi,1999.0,Chemistry,Delhi,2001.0,Others,Nagpur,2005.0,Ahmedabad,Lucknow,2093955,Y,B,4,4,2,0,2764020
1515,40724,13,12,Accounts,Sales Execituve,Training,P,Product Manager,Grad,Others,Ahmedabad,2001.0,Arts,Ahmedabad,2003.0,Chemistry,Ahmedabad,2007.0,Delhi,Kanpur,1951177,Y,Key_Performer,4,7,0,0,2497506
1517,59864,11,5,Top Management,Scientist,IT,K,Consultant,PG,Others,Mumbai,2002.0,Arts,Mumbai,2004.0,Sociology,Nagpur,2009.0,Surat,Mumbai,1965778,N,B,3,8,1,0,2555511
1518,40827,16,16,Banking,Others,FMCG,A,Research Analyst,Doctorate,Arts,Ahmedabad,1996.0,Arts,Ahmedabad,1998.0,Arts,Nagpur,2004.0,Kanpur,Nagpur,2818458,Y,Key_Performer,2,4,0,0,3945841
1520,31548,3,0,Marketing,Business Analyst,Analytics,I,Assistant Manager,PG,Economics,Mumbai,2010.0,Economics,Mumbai,2012.0,Economics,Guwahati,2017.0,Bhubaneswar,Jaipur,612023,N,A,2,4,0,0,795629
1522,28885,23,14,Marketing,Business Analyst,IT,C,Others,Grad,Statistics,Mumbai,1991.0,Others,Mumbai,1993.0,Chemistry,Jaipur,1997.0,Bangalore,Bhubaneswar,2541628,Y,B,2,8,0,0,3253283
1529,13470,18,1,Marketing,Bio statistician,Telecom,I,Product Manager,Grad,Engineering,Nagpur,1994.0,Engineering,Nagpur,1996.0,Engineering,Bhubaneswar,2002.0,Guwahati,Surat,2237031,Y,D,3,6,0,0,2634327
1530,24665,3,1,Healthcare,Business Analyst,Automobile,H,Consultant,Grad,Botony,Ahmedabad,2009.0,Botony,Ahmedabad,2011.0,Botony,Bhubaneswar,2017.0,Kolkata,Pune,618812,Y,B,1,6,0,0,792079
1531,57390,13,3,Healthcare,Others,Training,O,Medical Officer,Grad,Botony,Guwahati,2000.0,Botony,Guwahati,2002.0,Botony,Jaipur,2007.0,Nagpur,Bhubaneswar,2029359,N,A,3,6,0,0,2536698
1532,43610,20,15,Healthcare,Head,IT,L,Software Developer,Doctorate,Economics,Ahmedabad,1992.0,Economics,Ahmedabad,1994.0,Economics,Bhubaneswar,2000.0,Delhi,Mangalore,3976144,N,D,4,4,0,1,4938370
1533,58624,12,6,Healthcare,Others,Training,J,CA,Grad,Mathematics,Surat,2002.0,Mathematics,Surat,2004.0,Others,Guwahati,2008.0,Surat,Bhubaneswar,2073891,N,A,4,7,0,0,2592363
1539,24991,16,12,IT-Software,Sales Execituve,IT,F,Sr.Manager,PG,Mathematics,Guwahati,1996.0,Others,Guwahati,1998.0,Statistics,Surat,2004.0,Jaipur,Nagpur,2362816,Y,B,2,7,1,0,3118917
1541,46306,20,6,Analytics/BI,Financial Analyst,Others,C,Research Analyst,Doctorate,Statistics,Mangalore,1991.0,Statistics,Mangalore,1993.0,Statistics,Mangalore,2000.0,Bhubaneswar,Lucknow,2432737,N,B,4,4,0,0,3284194
1542,30935,22,7,Sales,Sales Execituve,IT,H,Network Engineer,Grad,Engineering,Mumbai,1990.0,Engineering,Mumbai,1992.0,Engineering,Lucknow,1998.0,Bhubaneswar,Bangalore,2400455,Y,D,2,4,2,0,2826775
1543,49501,1,1,Engineering,Sales Manager,BFSI,D,Marketing Manager,Doctorate,Economics,Delhi,2011.0,Economics,Delhi,2013.0,Economics,Surat,2019.0,Surat,Ahmedabad,569602,Y,B,2,7,0,0,797442
1547,55688,10,8,IT-Software,Project Manager,Analytics,L,Marketing Manager,Doctorate,Engineering,Lucknow,2002.0,Engineering,Lucknow,2004.0,Engineering,Bhubaneswar,2010.0,Nagpur,Ahmedabad,2077598,Y,B,6,6,0,0,2908637
1548,26209,21,15,Healthcare,Project Manager,Training,A,Product Manager,Grad,Zoology,Surat,1993.0,Zoology,Surat,1995.0,Zoology,Pune,1999.0,Mangalore,Mumbai,2451699,N,A,2,4,0,0,3064623
1550,29516,11,4,Accounts,Analyst,FMCG,N,Manager,Doctorate,Engineering,Ahmedabad,2003.0,Engineering,Ahmedabad,2005.0,Engineering,Mumbai,2009.0,Bangalore,Ahmedabad,2210678,N,B,6,5,0,0,2984415
1551,51472,1,0,IT-Software,Sales Execituve,IT,O,Others,Doctorate,Chemistry,Pune,2012.0,Chemistry,Pune,2014.0,Chemistry,Nagpur,2019.0,Delhi,Mangalore,816996,N,B,2,3,0,0,1021245
1553,51556,1,0,Education,Financial Analyst,Retail,H,Others,Grad,Chemistry,Jaipur,2013.0,Chemistry,Jaipur,2015.0,Chemistry,Jaipur,2019.0,Ahmedabad,Mumbai,488026,N,B,1,8,0,0,610032
1556,40399,25,2,Education,Bio statistician,Insurance,G,Sr.Manager,PG,Chemistry,Bhubaneswar,1987.0,Chemistry,Bhubaneswar,1989.0,Chemistry,Bhubaneswar,1995.0,Nagpur,Kolkata,1502690,N,D,5,6,0,0,1797217
1557,10243,22,14,IT-Software,Sales Manager,Analytics,P,Research Analyst,PG,Mathematics,Delhi,1989.0,Others,Delhi,1991.0,Zoology,Lucknow,1998.0,Chennai,Chennai,3084665,N,A,3,6,1,0,4010064
1559,33278,25,24,Sales,Sales Execituve,Others,N,Consultant,PG,Botony,Surat,1988.0,Botony,Surat,1990.0,Botony,Mumbai,1995.0,Ahmedabad,Kolkata,3089527,N,B,2,3,2,0,4016385
1561,36961,16,11,Marketing,Head,Aviation,J,Medical Officer,PG,Psychology,Jaipur,1995.0,Psychology,Jaipur,1997.0,Psychology,Lucknow,2004.0,Bhubaneswar,Ahmedabad,3099071,N,D,6,8,1,0,3706488
1563,14939,4,3,Others,Others,Insurance,O,Research Analyst,PG,Zoology,Mangalore,2008.0,Zoology,Mangalore,2010.0,Zoology,Kolkata,2016.0,Kanpur,Mumbai,1246961,Y,Key_Performer,1,5,1,0,1711828
1572,36012,24,7,Analytics/BI,Head,IT,O,Consultant,Grad,Others,Bangalore,1990.0,Engineering,Bangalore,1992.0,Mathematics,Delhi,1996.0,Guwahati,Pune,2567527,Y,D,5,3,0,0,3023519
1574,10313,1,0,Healthcare,Team Lead,Analytics,D,Assistant Manager,Grad,Economics,Bangalore,2013.0,Economics,Bangalore,2015.0,Economics,Surat,2019.0,Bhubaneswar,Surat,456276,Y,D,3,8,1,0,524717
1575,25682,23,0,Top Management,Sales Execituve,Insurance,D,Director,Grad,Others,Nagpur,1988.0,Others,Nagpur,1990.0,Chemistry,Mangalore,1997.0,Nagpur,Jaipur,2542434,Y,Key_Performer,6,3,0,0,3254315
1581,26952,2,2,IT-Software,Financial Analyst,Telecom,G,Consultant,Doctorate,Engineering,Surat,2011.0,Engineering,Surat,2013.0,Others,Delhi,2018.0,Kanpur,Jaipur,810491,Y,C,2,6,0,0,1043912
1583,18590,11,5,Top Management,Consultant,IT,C,Consultant,Grad,Psychology,Bangalore,2002.0,Psychology,Bangalore,2004.0,Psychology,Jaipur,2009.0,Mumbai,Lucknow,1859668,Y,Key_Performer,2,7,0,0,2380375
1585,47117,4,3,Banking,Project Manager,Retail,O,HR,PG,Engineering,Bangalore,2007.0,Engineering,Bangalore,2009.0,Engineering,Mumbai,2016.0,Guwahati,Mumbai,1307561,Y,Key_Performer,5,3,0,0,1795019
1586,44095,24,12,Banking,Project Manager,Aviation,A,Others,Doctorate,Psychology,Surat,1989.0,Psychology,Surat,1991.0,Psychology,Kolkata,1996.0,Bangalore,Bangalore,3467872,N,B,3,8,0,0,4681627
1588,15784,25,12,HR,Project Manager,Aviation,D,Assistant Manager,Grad,Others,Pune,1988.0,Psychology,Pune,1990.0,Sociology,Delhi,1995.0,Mumbai,Surat,2433717,N,B,2,4,2,0,3042146
1589,33134,21,10,Banking,Team Lead,Analytics,E,Network Engineer,Grad,Economics,Pune,1992.0,Economics,Pune,1994.0,Economics,Jaipur,1999.0,Ahmedabad,Mangalore,2427742,N,D,6,8,2,0,2791903
1590,28574,6,1,Education,Project Manager,Automobile,G,Research Scientist,Doctorate,Psychology,Mumbai,2007.0,Psychology,Mumbai,2009.0,Others,Surat,2014.0,Bangalore,Guwahati,1911534,N,C,6,3,0,0,2374125
1592,51947,13,11,Analytics/BI,Financial Analyst,IT,G,Sr.Manager,Grad,Chemistry,Nagpur,1999.0,Chemistry,Nagpur,2001.0,Chemistry,Surat,2007.0,Mangalore,Pune,1805396,N,C,6,8,0,0,2076205
1593,15506,6,4,Engineering,Scientist,Telecom,J,Product Manager,Doctorate,Others,Lucknow,2008.0,Botony,Lucknow,2010.0,Botony,Kolkata,2014.0,Ahmedabad,Nagpur,1557192,Y,Key_Performer,2,5,0,0,2267271
1594,55289,8,8,Banking,Project Manager,Aviation,F,Consultant,Doctorate,Chemistry,Surat,2004.0,Chemistry,Surat,2006.0,Chemistry,Pune,2012.0,Nagpur,Nagpur,1508338,Y,Key_Performer,1,8,0,0,2196140
1596,48302,10,8,Engineering,CEO,Retail,O,Others,Doctorate,Sociology,Bangalore,2002.0,Others,Bangalore,2004.0,Zoology,Mumbai,2010.0,Mangalore,Chennai,2128986,N,D,3,3,0,0,2644200
1597,37495,15,14,Banking,Consultant,FMCG,K,Data Analyst,Grad,Botony,Jaipur,1998.0,Botony,Jaipur,2000.0,Botony,Nagpur,2005.0,Mangalore,Mumbai,2396067,N,C,4,7,3,0,2755477
1600,55849,8,3,Engineering,Sales Manager,FMCG,F,Marketing Manager,Grad,Economics,Lucknow,2003.0,Economics,Lucknow,2005.0,Economics,Ahmedabad,2012.0,Chennai,Jaipur,1109651,Y,B,2,7,0,0,1420353
1601,21757,14,1,Others,Consultant,Insurance,B,Others,Grad,Others,Surat,2000.0,Sociology,Surat,2002.0,Others,Mumbai,2006.0,Kanpur,Lucknow,1864734,N,B,5,6,0,0,2330917
1603,44172,7,7,Others,Analyst,Aviation,J,Others,PG,Engineering,Mumbai,2005.0,Engineering,Mumbai,2007.0,Engineering,Nagpur,2013.0,Chennai,Ahmedabad,1582541,N,D,5,3,0,0,1892719
1611,59282,11,4,Healthcare,Senior Researcher,Retail,D,Data Analyst,PG,Sociology,Lucknow,2003.0,Sociology,Lucknow,2005.0,Others,Pune,2009.0,Bangalore,Bhubaneswar,2196442,Y,Key_Performer,6,3,0,0,2899303
1613,28544,14,0,IT-Software,CEO,Automobile,H,Web Designer,Doctorate,Engineering,Kolkata,1998.0,Engineering,Kolkata,2000.0,Engineering,Pune,2006.0,Kolkata,Guwahati,1713947,Y,Key_Performer,6,7,0,0,2399525
1614,18448,4,4,Accounts,Bio statistician,FMCG,B,Assistant Manager,Doctorate,Economics,Jaipur,2010.0,Others,Jaipur,2012.0,Economics,Nagpur,2016.0,Bangalore,Jaipur,1064869,Y,A,1,8,0,0,1550449
1615,46138,12,4,Engineering,Bio statistician,Telecom,K,Director,Doctorate,Others,Bangalore,1999.0,Arts,Bangalore,2001.0,Sociology,Lucknow,2008.0,Bangalore,Lucknow,1732114,Y,B,6,6,0,0,2424959
1616,24565,17,1,Analytics/BI,Analyst,BFSI,K,Product Manager,Doctorate,Mathematics,Bhubaneswar,1997.0,Others,Bhubaneswar,1999.0,Engineering,Nagpur,2003.0,Bhubaneswar,Kolkata,3284868,N,C,4,8,0,0,4079806
1620,29189,21,21,Accounts,Bio statistician,Telecom,L,Research Analyst,Doctorate,Others,Bangalore,1992.0,Chemistry,Bangalore,1994.0,Engineering,Pune,1999.0,Kanpur,Mangalore,2934168,N,A,6,4,0,0,3961126
1621,17352,17,11,Top Management,Project Manager,Automobile,O,Data Analyst,PG,Others,Jaipur,1996.0,Chemistry,Jaipur,1998.0,Engineering,Nagpur,2003.0,Jaipur,Mumbai,2442279,N,B,3,8,0,0,3174962
1622,25032,3,2,Education,Scientist,Aviation,I,Product Manager,Grad,Others,Bhubaneswar,2009.0,Arts,Bhubaneswar,2011.0,Zoology,Bangalore,2017.0,Delhi,Guwahati,597282,Y,B,1,4,0,1,764520
1623,49747,8,6,Marketing,Others,Training,A,Product Manager,PG,Others,Jaipur,2004.0,Chemistry,Jaipur,2006.0,Statistics,Lucknow,2012.0,Bhubaneswar,Nagpur,1184973,Y,Key_Performer,4,3,0,0,1626730
1626,41720,6,2,HR,Others,IT,C,Medical Officer,Doctorate,Psychology,Kolkata,2008.0,Psychology,Kolkata,2010.0,Psychology,Kolkata,2014.0,Bangalore,Kolkata,1941094,N,D,4,6,0,0,2410838
1627,13859,18,8,Top Management,CEO,Aviation,H,HR,Grad,Engineering,Mangalore,1996.0,Engineering,Mangalore,1998.0,Engineering,Nagpur,2002.0,Bhubaneswar,Chennai,2341206,N,B,6,6,0,0,2926507
1630,36873,11,11,Healthcare,Others,Retail,F,Medical Officer,Grad,Zoology,Jaipur,2003.0,Zoology,Jaipur,2005.0,Zoology,Pune,2009.0,Jaipur,Lucknow,2004311,N,B,4,7,0,0,2505388
1634,14386,14,3,HR,Analyst,Others,P,Research Analyst,Grad,Zoology,Nagpur,1997.0,Zoology,Nagpur,1999.0,Zoology,Ahmedabad,2006.0,Lucknow,Nagpur,1924450,N,C,2,6,2,0,2213117
1636,10732,19,1,Sales,Project Manager,Retail,C,Sr.Manager,PG,Economics,Guwahati,1994.0,Economics,Guwahati,1996.0,Economics,Mumbai,2001.0,Ahmedabad,Kolkata,3241794,Y,D,2,6,2,0,3936834
1637,44888,14,3,HR,Senior Researcher,Aviation,H,Sr.Manager,PG,Psychology,Lucknow,1999.0,Psychology,Lucknow,2001.0,Psychology,Delhi,2006.0,Mumbai,Delhi,2358362,N,A,6,3,2,0,3065870
1640,59696,24,2,Accounts,Business Analyst,BFSI,D,Data Analyst,PG,Chemistry,Lucknow,1990.0,Others,Lucknow,1992.0,Sociology,Kolkata,1996.0,Bangalore,Pune,1765824,N,D,4,7,1,0,2111925
1644,38231,7,6,Analytics/BI,Bio statistician,IT,C,Data Analyst,Grad,Chemistry,Jaipur,2006.0,Chemistry,Jaipur,2008.0,Others,Surat,2013.0,Mumbai,Mangalore,998824,Y,B,1,4,3,0,1278494
1647,53562,25,7,Banking,Sales Execituve,Automobile,A,Research Analyst,Doctorate,Chemistry,Surat,1988.0,Chemistry,Surat,1990.0,Chemistry,Bangalore,1995.0,Lucknow,Pune,3954764,Y,B,6,6,0,0,5536669
1648,26268,24,17,Others,Scientist,Automobile,D,Assistant Manager,Grad,Engineering,Lucknow,1989.0,Others,Lucknow,1991.0,Sociology,Mumbai,1996.0,Pune,Jaipur,2579002,N,A,5,7,0,0,3223752
1649,59317,23,14,Banking,CEO,Insurance,F,Product Manager,Grad,Zoology,Nagpur,1989.0,Zoology,Nagpur,1991.0,Zoology,Mangalore,1997.0,Chennai,Bhubaneswar,2479884,N,A,5,4,0,0,3099855
1650,27002,21,10,Accounts,Financial Analyst,Aviation,D,HR,Grad,Statistics,Mumbai,1992.0,Statistics,Mumbai,1994.0,Statistics,Bhubaneswar,1999.0,Mangalore,Surat,1727416,Y,Key_Performer,6,8,0,0,2211092
1657,20820,16,15,HR,Head,Analytics,I,Others,PG,Statistics,Delhi,1996.0,Statistics,Delhi,1998.0,Statistics,Guwahati,2004.0,Kanpur,Bangalore,2984216,Y,D,3,8,0,1,3624031
1662,39566,6,6,HR,Associate,Analytics,D,Data Analyst,PG,Zoology,Delhi,2006.0,Zoology,Delhi,2008.0,Others,Delhi,2014.0,Mangalore,Lucknow,1066658,N,C,6,7,1,0,1275722
1663,57204,21,0,HR,Financial Analyst,Automobile,D,HR,Grad,Engineering,Mumbai,1990.0,Engineering,Mumbai,1992.0,Engineering,Lucknow,1999.0,Lucknow,Bangalore,2665394,Y,C,6,6,0,0,3138767
1665,52042,22,18,Sales,Bio statistician,Aviation,M,Research Scientist,PG,Sociology,Kolkata,1990.0,Sociology,Kolkata,1992.0,Sociology,Jaipur,1998.0,Bangalore,Bangalore,2629724,N,D,6,6,0,0,3145149
1669,26142,17,17,Marketing,Bio statistician,IT,G,Sr.Manager,Doctorate,Sociology,Bangalore,1994.0,Sociology,Bangalore,1996.0,Sociology,Pune,2003.0,Kanpur,Jaipur,3327496,N,B,3,6,0,0,4492119
1675,30680,1,0,Sales,Project Manager,FMCG,O,Network Engineer,Doctorate,Statistics,Bangalore,2012.0,Statistics,Bangalore,2014.0,Statistics,Guwahati,2019.0,Nagpur,Surat,504313,N,C,3,8,0,0,612437
1676,21380,13,7,HR,Financial Analyst,Training,J,Sr.Manager,Doctorate,Engineering,Jaipur,1998.0,Engineering,Jaipur,2000.0,Engineering,Lucknow,2007.0,Mumbai,Guwahati,1735441,N,B,4,6,0,0,2342845
1677,40681,22,8,Sales,Business Analyst,Aviation,D,Others,Grad,Engineering,Nagpur,1991.0,Engineering,Nagpur,1993.0,Engineering,Mangalore,1998.0,Guwahati,Bhubaneswar,2428531,N,C,6,7,0,0,2792810
1679,51403,7,3,IT-Software,Consultant,Analytics,M,Software Developer,Doctorate,Economics,Nagpur,2005.0,Economics,Nagpur,2007.0,Economics,Bhubaneswar,2013.0,Ahmedabad,Mumbai,1411787,Y,B,5,4,0,0,1976501
1682,20516,4,2,HR,Associate,IT,E,Director,Grad,Economics,Kolkata,2009.0,Economics,Kolkata,2011.0,Economics,Kolkata,2016.0,Surat,Ahmedabad,694296,Y,B,6,3,0,0,888698
1684,56622,19,1,Sales,Financial Analyst,Retail,O,Web Designer,PG,Engineering,Nagpur,1993.0,Others,Nagpur,1995.0,Arts,Jaipur,2001.0,Ahmedabad,Jaipur,2632992,N,C,3,4,1,0,3149058
1685,37254,21,8,Education,Business Analyst,Analytics,J,Others,Grad,Economics,Bangalore,1991.0,Economics,Bangalore,1993.0,Economics,Bangalore,1999.0,Surat,Bangalore,1629403,N,C,3,7,0,0,1873813
1691,39050,7,0,Accounts,Analyst,Analytics,B,Assistant Manager,Doctorate,Others,Kolkata,2004.0,Engineering,Kolkata,2006.0,Sociology,Bangalore,2013.0,Pune,Kanpur,1483938,N,D,3,6,0,0,1843050
1693,31136,25,12,Marketing,Others,Telecom,B,Medical Officer,Grad,Psychology,Ahmedabad,1986.0,Psychology,Ahmedabad,1988.0,Psychology,Jaipur,1995.0,Delhi,Mumbai,2486134,N,B,3,5,0,0,3107667
1694,23019,6,1,Accounts,Sales Execituve,Analytics,G,Manager,PG,Engineering,Jaipur,2006.0,Engineering,Jaipur,2008.0,Engineering,Kolkata,2014.0,Mumbai,Guwahati,586909,Y,A,2,8,0,0,805708
1695,52237,18,5,Sales,Team Lead,FMCG,J,Manager,Doctorate,Chemistry,Bhubaneswar,1995.0,Chemistry,Bhubaneswar,1997.0,Chemistry,Nagpur,2002.0,Kanpur,Kolkata,2421607,Y,D,3,3,0,0,3119029
1701,36768,7,0,HR,Team Lead,Training,E,Assistant Manager,PG,Zoology,Guwahati,2005.0,Zoology,Guwahati,2007.0,Zoology,Mumbai,2013.0,Surat,Mumbai,1359053,N,D,1,6,0,0,1625427
1703,51615,19,15,Engineering,CEO,Automobile,G,Product Manager,PG,Economics,Guwahati,1994.0,Economics,Guwahati,1996.0,Economics,Surat,2001.0,Kanpur,Lucknow,3503958,Y,Key_Performer,6,5,1,0,4625224
1704,26906,12,2,Banking,Business Analyst,Telecom,C,Software Developer,Doctorate,Economics,Lucknow,1999.0,Economics,Lucknow,2001.0,Economics,Jaipur,2008.0,Bangalore,Ahmedabad,1868388,N,D,2,8,0,0,2320537
1717,10715,19,14,Sales,Bio statistician,Others,K,Consultant,PG,Statistics,Bangalore,1992.0,Statistics,Bangalore,1994.0,Statistics,Mangalore,2001.0,Surat,Ahmedabad,3877599,Y,Key_Performer,5,8,1,0,5118430
1718,24826,3,2,Healthcare,Team Lead,IT,C,Sr.Manager,Doctorate,Others,Mangalore,2010.0,Psychology,Mangalore,2012.0,Zoology,Nagpur,2017.0,Pune,Pune,1363188,Y,B,2,4,0,0,1908463
1719,56613,8,2,Top Management,Sr. Business Analyst,BFSI,C,Network Engineer,Grad,Others,Mangalore,2006.0,Statistics,Mangalore,2008.0,Others,Bangalore,2012.0,Bangalore,Kanpur,1150784,Y,Key_Performer,3,7,0,0,1531923
1720,21234,1,0,Accounts,Associate,Others,H,Software Developer,PG,Engineering,Lucknow,2010.0,Engineering,Lucknow,2012.0,Engineering,Mumbai,2019.0,Mumbai,Nagpur,654111,N,B,1,3,1,0,837262
